주문건수,평균기온(°C),일강수량(mm),평균 풍속(m/s),요일,계절성
961,23.9,0.0,0.7,0,187
922,23.4,0.0,0.7,1,188
1599,22.6,6.5,1.9,4,191
1578,25.1,0.0,1.4,5,192
1764,22.4,2.5,0.9,6,193
1200,19.2,52.0,2.8,0,194
1200,21.7,0.0,0.7,2,196
2044,23.0,0.0,0.6,3,197
1477,23.5,0.5,0.7,4,198
1585,24.0,0.0,0.6,5,199
1666,24.9,31.5,2.5,6,200
1218,23.2,5.0,1.5,0,201
917,23.9,0.0,0.5,1,202
1206,22.6,12.5,0.3,2,203
1516,21.2,95.5,2.6,3,204
1487,22.9,4.5,2.9,4,205
1469,23.5,0.0,2.0,5,206
1926,24.4,0.0,0.9,6,207
1131,23.2,2.5,0.7,0,208
952,24.1,0.0,0.6,1,209
1191,23.3,26.0,0.7,2,210
1104,24.0,2.0,0.7,3,211
1415,24.9,27.5,0.7,4,212
1695,24.3,16.5,0.9,5,213
1828,24.5,56.0,1.2,6,214
1259,24.7,122.5,1.5,0,215
1211,26.3,10.0,1.3,1,216
1405,26.3,21.0,1.7,2,217
1222,23.5,81.0,1.5,3,218
1496,23.2,0.0,0.4,4,219
1939,23.8,18.0,1.2,5,220
1980,25.2,79.5,2.0,6,221
1241,25.7,51.0,1.1,0,222
1105,23.8,70.5,0.7,1,223
1188,26.5,0.0,0.5,2,224
1236,27.5,0.0,1.4,3,225
1569,26.5,1.0,1.6,4,226
2446,25.2,61.0,0.5,5,227
1639,26.8,0.0,1.3,6,228
1571,27.1,0.0,0.8,0,229
931,25.6,0.0,0.6,1,230
1228,25.4,0.0,0.8,2,231
1473,26.1,0.0,0.5,3,232
1844,24.7,13.5,0.5,4,233
1488,27.9,0.0,0.8,1,237
1414,28.7,1.5,1.8,2,238
1403,26.3,6.5,2.3,3,239
1803,25.9,54.0,0.9,4,240
2100,25.8,22.5,0.5,5,241
2085,26.1,35.0,0.9,6,242
1437,26.0,0.0,1.5,0,243
1269,25.2,0.0,0.7,1,244
1698,23.1,27.5,1.3,2,245
1538,21.7,39.5,2.1,3,246
1814,22.0,0.0,1.3,4,247
1982,21.4,0.0,0.5,5,248
1708,20.7,7.0,1.1,6,249
1571,18.8,57.0,2.2,0,250
1149,22.0,0.0,1.7,1,251
1427,19.5,6.5,0.7,2,252
1311,20.9,22.0,0.7,3,253
1902,21.4,2.5,1.3,4,254
1904,19.1,7.5,0.9,5,255
1788,19.7,0.0,0.6,6,256
1026,19.7,0.0,0.5,0,257
856,21.0,0.0,0.5,1,258
1165,21.4,0.5,0.5,2,259
1187,19.4,0.0,0.5,3,260
1480,19.1,0.0,1.0,4,261
1573,18.6,0.0,0.8,5,262
1468,16.7,0.0,0.9,6,263
912,15.9,0.0,0.4,0,264
58,19.6,0.0,1.5,1,265
47,19.1,0.0,2.2,2,266
88,20.3,0.0,2.1,3,267
89,18.5,0.0,1.0,4,268
1576,17.0,0.0,0.9,5,269
889,17.3,0.0,0.4,0,271
1173,17.0,0.0,0.4,1,272
947,17.7,3.0,0.4,2,273
771,17.4,0.0,0.7,3,274
1356,18.4,0.5,1.2,4,275
1327,18.4,0.0,0.3,5,276
1421,14.8,0.0,0.9,6,277
886,10.8,0.0,0.9,0,278
839,10.9,0.0,0.6,1,279
1031,13.1,0.0,0.4,2,280
1268,15.1,0.0,1.1,3,281
1442,16.2,0.0,1.4,4,282
1356,14.8,0.0,0.7,5,283
1434,14.7,0.0,0.3,6,284
960,13.6,0.0,0.6,0,285
787,9.8,0.0,0.5,1,286
1030,10.0,0.0,0.8,2,287
1088,8.2,0.0,0.5,3,288
1472,9.1,0.0,0.3,4,289
1506,10.0,0.0,0.7,5,290
791,10.7,0.0,0.7,6,291
796,12.4,0.0,0.6,0,292
872,11.6,0.0,0.5,1,293
1093,12.0,0.0,0.6,2,294
1165,13.4,0.0,1.3,3,295
1571,5.9,0.0,1.1,4,296
1525,5.7,0.0,1.1,5,297
1509,8.9,0.0,0.7,6,298
907,9.8,0.0,0.6,0,299
785,11.3,0.0,0.5,1,300
1323,10.8,0.0,0.9,2,301
1209,7.0,0.0,0.6,3,302
1546,8.0,0.0,0.5,4,303
1884,12.4,0.0,1.2,5,304
1918,12.7,9.5,1.3,6,305
1139,8.4,0.0,0.8,0,306
1055,3.2,0.0,1.7,1,307
1537,2.1,0.0,0.8,2,308
1579,7.5,0.0,0.5,3,309
2079,11.6,0.0,0.6,4,310
2239,13.4,0.0,1.4,5,311
2267,6.4,0.0,1.4,6,312
1431,3.1,0.0,0.7,0,313
1426,4.2,0.0,0.9,1,314
2050,9.4,0.0,0.4,4,317
2445,8.7,0.0,0.6,5,318
2303,7.2,0.0,0.4,6,319
1325,9.6,0.0,0.6,0,320
1569,16.7,0.0,1.9,1,321
1989,18.8,9.5,3.1,2,322
1988,13.5,67.0,2.2,3,323
2407,2.1,0.5,1.4,4,324
2439,4.7,0.0,0.6,5,325
2315,4.5,5.0,0.8,6,326
1665,0.6,0.0,0.4,1,328
1906,1.7,0.0,0.3,2,329
1982,2.5,0.0,0.4,3,330
2774,2.0,0.0,0.9,4,331
2832,-1.9,0.0,0.8,5,332
2739,-2.5,0.0,0.6,6,333
1995,-3.3,0.0,0.5,0,334
1847,-1.8,0.0,0.4,1,335
3487,0.1,0.0,0.5,2,336
1997,-2.0,0.0,0.8,3,337
2556,-3.7,0.0,0.5,4,338
2560,-0.6,0.0,0.4,5,339
2103,1.9,0.0,0.5,6,340
1657,1.0,0.0,0.8,0,341
1660,-3.7,0.0,0.5,1,342
1846,-1.3,0.0,0.3,2,343
1858,3.7,0.0,0.4,3,344
2277,2.2,0.0,0.3,4,345
2432,-0.9,0.0,0.6,5,346
2187,-1.7,1.5,1.1,6,347
1633,-8.8,0.0,1.3,0,348
1819,-10.3,0.0,0.9,1,349
1881,-10.9,0.0,0.9,2,350
1864,-7.7,0.0,0.5,3,351
2433,-3.2,0.0,1.2,4,352
2429,-8.4,0.0,0.6,5,353
2055,-7.5,0.0,0.5,6,354
1559,-4.8,0.0,0.4,0,355
1594,-1.1,0.0,0.5,1,356
1767,3.4,0.0,0.7,2,357
2928,-0.4,0.0,0.9,3,358
2764,-4.4,0.0,0.6,4,359
2188,-0.9,0.0,0.5,5,360
1878,4.0,0.0,0.8,6,361
1374,3.6,0.0,0.4,0,362
1586,-1.8,0.0,1.1,1,363
1857,-11.7,0.0,1.9,2,364
2909,-11.5,0.0,0.7,3,365
